 CPU usage           ,CPU temperature     ,GPU1 usage          ,GPU1 temperature    ,GPU2 usage          ,GPU2 temperature    ,RAM usage           
 5.859               ,40.000              ,1.000               ,40.000              ,2.000               ,36.000              ,7031.000            
 4.492               ,40.000              ,0.000               ,40.000              ,0.000               ,36.000              ,7031.000            
 5.469               ,40.000              ,2.000               ,40.000              ,4.000               ,36.000              ,7027.000            
 10.742              ,39.000              ,7.000               ,40.000              ,4.000               ,36.000              ,7026.000            
 7.813               ,40.000              ,1.000               ,40.000              ,1.000               ,36.000              ,7033.000            
 6.250               ,40.000              ,6.000               ,40.000              ,5.000               ,36.000              ,7032.000            
 8.008               ,41.000              ,10.000              ,40.000              ,6.000               ,36.000              ,7031.000            
 7.813               ,40.000              ,1.000               ,40.000              ,1.000               ,36.000              ,7034.000            
 7.031               ,40.000              ,1.000               ,40.000              ,1.000               ,36.000              ,7034.000            
 7.227               ,40.000              ,11.000              ,40.000              ,10.000              ,36.000              ,7036.000            
 6.836               ,39.000              ,8.000               ,40.000              ,4.000               ,36.000              ,7036.000            
 5.273               ,39.000              ,2.000               ,40.000              ,1.000               ,36.000              ,7031.000            
 3.906               ,40.000              ,2.000               ,40.000              ,1.000               ,36.000              ,7030.000            
 2.148               ,41.000              ,2.000               ,40.000              ,1.000               ,36.000              ,7028.000            
 5.273               ,40.000              ,3.000               ,41.000              ,1.000               ,36.000              ,7028.000            
 5.664               ,39.000              ,2.000               ,40.000              ,1.000               ,36.000              ,7032.000            
 8.203               ,42.000              ,7.000               ,40.000              ,4.000               ,36.000              ,7031.000            
 5.078               ,41.000              ,2.000               ,40.000              ,1.000               ,36.000              ,7028.000            
 3.906               ,39.000              ,2.000               ,40.000              ,1.000               ,36.000              ,7027.000            
 4.102               ,40.000              ,9.000               ,40.000              ,1.000               ,36.000              ,7027.000            
 4.492               ,39.000              ,2.000               ,40.000              ,0.000               ,36.000              ,7027.000            
 4.492               ,39.000              ,3.000               ,40.000              ,3.000               ,36.000              ,7026.000            
